seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12001,O1,A,2.4757373332977295,1.7163479328155518,2.0,0.931640625,0.462890625,0.46875,1.0262868404388428,1.0003373622894287,1.0,0.96875,0.484375,0.484375,2.680026123443967
12001,O1,B,19.703752517700195,1.1657116413116455,1.0,0.900390625,0.4501953125,0.4501953125,1.0854965448379517,1.0026683807373047,1.0,0.90625,0.453125,0.453125,19.733630330672355
12001,O1,C,13.087203025817871,1.2315343618392944,1.0,0.93359375,0.4716796875,0.4619140625,1.1688683032989502,1.0025802850723267,1.0,0.9375,0.46875,0.46875,13.13929739938302
12001,O3,A,1.2428714036941528,1.924019694328308,3.0,0.8681640625,0.4345703125,0.43359375,0.3142772614955902,1.000001311302185,1.0,0.9375,0.46875,0.46875,1.2819904536360016
12001,O3,B,1.3314327001571655,2.1572494506835938,3.0,0.525390625,0.267578125,0.2578125,1.276088833808899,1.0000004768371582,1.0,0.96875,0.484375,0.484375,1.8442114159769092
12001,O3,C,6.944529056549072,1.9829562902450562,3.0,0.8525390625,0.4287109375,0.423828125,1.6941654682159424,1.0000007152557373,1.0,0.96875,0.484375,0.484375,7.148194209095728
12001,O4R,A,1.2512580156326294,1.9218140840530396,3.0,0.865234375,0.43359375,0.431640625,0.3093125522136688,1.0000007152557373,1.0,0.9375,0.46875,0.46875,1.2889223702930441
12001,O4R,B,1.2850030660629272,2.2084639072418213,3.0,0.560546875,0.287109375,0.2734375,1.2730827331542969,1.0000004768371582,1.0,1.0,0.5,0.5,1.8088594542547352
12001,O4R,C,5.443850994110107,2.580428123474121,4.0,0.876953125,0.443359375,0.43359375,1.5998917818069458,1.0000003576278687,1.0,0.96875,0.484375,0.484375,5.674078547179886
12001,O4M,A,1.17960786819458,1.9751802682876587,3.0,0.85546875,0.4287109375,0.4267578125,0.4241001009941101,1.0000011920928955,1.0,0.96875,0.484375,0.484375,1.253529265063156
12001,O4M,B,1.106979489326477,2.051992416381836,3.0,0.693359375,0.3447265625,0.3486328125,1.3066380023956299,1.0000007152557373,1.0,1.0,0.5,0.5,1.7125146595267293
12001,O4M,C,3.9961578845977783,2.500498056411743,3.0,0.8759765625,0.439453125,0.4365234375,1.3808401823043823,1.0000005960464478,1.0,0.96875,0.484375,0.484375,4.228001590314198
12001,O4D,A,1.17960786819458,1.9751802682876587,3.0,0.85546875,0.4287109375,0.4267578125,0.4241001009941101,1.0000011920928955,1.0,0.96875,0.484375,0.484375,1.253529265063156
12001,O4D,B,1.106979489326477,2.051992416381836,3.0,0.693359375,0.3447265625,0.3486328125,1.3066380023956299,1.0000007152557373,1.0,1.0,0.5,0.5,1.7125146595267293
12001,O4D,C,3.8282241821289062,2.4775664806365967,3.0,0.8818359375,0.447265625,0.4345703125,1.3624334335327148,1.0000008344650269,1.0,0.96875,0.484375,0.484375,4.0634376148089535
12054,O1,A,2.575667381286621,1.387165904045105,2.0,0.8603515625,0.4365234375,0.423828125,1.0191534757614136,1.0006332397460938,1.0,0.96875,0.484375,0.484375,2.7699704450012548
