seed,observer,phase,accuracy,balanced_accuracy,macro_f1,reward,tp,tn,fp,fn,active_hidden_units,active_embedding_units,retrieval_label_precision,combo00_accuracy,combo01_accuracy,combo10_accuracy,combo11_accuracy,retrieved_nodes,retrieved_edges,path_style_diversity,path_phase_diversity,retrieved_dream_fraction,mean_similarity,memory_p1,pathway_reuse_jaccard,pathway_union_active_units,I_param,I_external_memory,I_short_term,durable_no_short_accuracy,stripped_no_durable_accuracy,I_durable_joint,C_att,D_cue,N_sup,A_util,T_gain,I_ret_legacy,R_ret_legacy,U_adapt,Q_proc_legacy,P_chain_legacy,OWGE_legacy,memory_records,memory_edges_directed,memory_dream_records,memory_dream_fraction,resource_cost,base_zero_lora_accuracy,dream_candidates,dream_valid,dream_00,dream_01,dream_10,dream_11,dream_validation_rate
12001,O1,A,1.0,1.0,1.0,1.0,189,211,0,0,32.0,23.59,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.97,0.0,0.0,0.0,0.5,1.0,0.2633046061055618,0.007937013196843614,0.0020898521334495536,0.0,0.0,0.0,0.0,0.2277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O1,B,0.616,0.616,0.6159016708277318,0.232,158,150,100,92,19.108,29.76,0.0,0.9357142857142857,0.18627450980392157,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.616,0.616,0.0,0.15686339710014963,0.0,0.97,0.0,0.0,0.0,0.5,0.616,0.13108200269893489,0.006753321573290601,0.0008852389166968537,0.0,0.0,0.0,0.0,0.2277,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O1,C,0.4925,0.49257696515080485,0.4925,-0.015,197,197,198,208,21.40625,30.50625,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.49257696515080485,0.49257696515080485,0.0,0.00031799960689793405,0.0,0.97,0.0,0.0,0.0,0.5,0.4925,0.1065321967283576,0.006267956828303459,0.0006677392099176764,0.0,0.0,0.0,0.0,0.2277,0.4925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O1,C_style_shift,0.50125,0.5010255191690793,0.5010246814577207,0.0025,209,192,199,200,23.16,30.49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O1,A_after_C,1.0,1.0,1.0,1.0,189,211,0,0,22.6225,30.5275,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O1,B_after_C,0.616,0.616,0.6159016708277318,0.232,158,150,100,92,23.288,30.484,0.0,0.9357142857142857,0.18627450980392157,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O3,A,1.0,1.0,1.0,1.0,189,211,0,0,32.0,6.68,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8888888955701417,0.3333333333333333,0.95,0.0,1.0,0.0,0.5,1.0,0.43459681775334724,0.007937013196843614,0.0034494006778145563,0.0,0.0,0.0,0.0,0.29700000000000004,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O3,B,0.744,0.744,0.7309794031105505,0.488,241,131,119,9,31.592,11.236,0.0,0.9357142857142857,0.8137254901960784,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.488,0.5,0.616,0.0,0.6579020871542437,0.3333333333333333,0.95,0.3279569892473118,0.0,0.0,0.744,0.744,0.2986689761697444,0.00821074087224858,0.002452293569909558,0.0,0.0,0.0,0.0,0.29700000000000004,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O3,C,0.4925,0.49257696515080485,0.4925,-0.015,197,197,198,208,28.69,30.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.19965491742666996,0.0,0.0,0.49257696515080485,0.49257696515080485,0.0,0.5557675468651682,0.3333333333333333,0.95,0.0,0.19762845849802368,0.0,0.5,0.4925,0.26367765824933204,0.006267956828303459,0.0016527201784949665,0.0,0.0,0.0,0.0,0.29700000000000004,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O3,C_style_shift,0.50125,0.5010255191690793,0.5010246814577207,0.0025,209,192,199,200,30.1225,27.30375,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
