phase,observer,accuracy_mean,accuracy_sd,balanced_accuracy_mean,macro_f1_mean,reward_mean,I_durable_mean,retrieval_precision,resource_cost,OWGE_legacy
A,O1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2277,0.0020898521334495536
A,O3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.29700000000000004,0.0034494006778041245
A,O4D,0.9983124999999999,0.010672687103068283,0.9983695652173912,0.9983107156934512,0.9966250000000001,0.0,1.0,0.6970000000000001,0.002789632656234184
A,O4M,0.9983124999999999,0.010672687103068283,0.9983695652173912,0.9983107156934512,0.9966250000000001,0.0,1.0,0.6970000000000001,0.002789632656234184
A,O4R,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.29700000000000004,0.0034494006778041245
B,O1,0.6057,0.07413023882122807,0.6058031005442233,0.5800771751142297,0.21139999999999998,0.0,0.0,0.2277,0.0010230303234549391
B,O3,0.752,0.03472381876671384,0.7501425283549052,0.7426005706224471,0.504,0.0,0.0,0.29700000000000004,0.0026207518769889864
B,O4D,0.7338,0.05545115660859355,0.7308465533233832,0.72217167352496,0.4676,0.20878269702302563,0.6765557738095238,0.6970000000000001,0.07862288232695089
B,O4M,0.7338,0.05545115660859355,0.7308465533233832,0.72217167352496,0.4676,0.20878269702302563,0.6765557738095238,0.6970000000000001,0.07862288232695089
B,O4R,0.7485999999999999,0.050776938031919926,0.7476734971457202,0.7366925299312899,0.4972,0.0,0.0,0.29700000000000004,0.002692734074831873
C,O1,0.50275,0.020828589203427273,0.5027348903420312,0.5019039257908242,0.0055000000000000005,0.0009259259259259253,0.0,0.2277,0.0009500862031199779
C,O3,0.560875,0.10489318437441547,0.5616357194101166,0.5486332056513284,0.12175,0.004886697292001857,0.0,0.29700000000000004,0.00774457935107155
C,O4D,0.7576562499999999,0.048749743178153226,0.7573459027630614,0.7423517248393899,0.5153125000000001,0.48929245861651116,0.7570001612103174,0.839857142857143,0.14373478767115955
C,O4M,0.75884375,0.04960370797179665,0.7585336233313572,0.7435005970228435,0.5176875,0.49321160091356314,0.7570001612103174,0.6970000000000001,0.15393242112707767
C,O4R,0.58940625,0.11957958790927188,0.590561810355997,0.5755169525632342,0.17881249999999999,0.007318891501902169,0.0,0.29700000000000004,0.016895401905415885
