seed,observer,num_distractors,accuracy,reward,relative_processing_cost,relative_efficiency
2001,O1,0,0.715,0.43,1.0,0.715
2001,O2,0,0.69125,0.3825,3.0,0.2304166666666667
2001,O3,0,0.55375,0.1075,1.3199999999999998,0.4195075757575758
2001,O4,0,0.525,0.05,1.3199999999999998,0.3977272727272728
2001,O5R,0,0.625,0.25,1.3199999999999998,0.47348484848484856
2001,O1,2,0.715,0.43,1.0,0.715
2001,O2,2,0.695,0.39,5.0,0.13899999999999998
2001,O3,2,0.55375,0.1075,1.4799999999999998,0.37415540540540543
2001,O4,2,0.525,0.05,1.4799999999999998,0.3547297297297298
2001,O5R,2,0.625,0.25,1.4799999999999998,0.42229729729729737
2001,O1,5,0.715,0.43,1.0,0.715
2001,O2,5,0.6975,0.395,8.0,0.0871875
2001,O3,5,0.55375,0.1075,1.7199999999999998,0.32194767441860467
2001,O4,5,0.525,0.05,1.7199999999999998,0.3052325581395349
2001,O5R,5,0.625,0.25,1.7199999999999998,0.36337209302325585
2001,O1,10,0.715,0.43,1.0,0.715
2001,O2,10,0.70375,0.4075,13.0,0.054134615384615385
2001,O3,10,0.55375,0.1075,2.12,0.26120283018867924
2001,O4,10,0.525,0.05,2.12,0.24764150943396226
2001,O5R,10,0.625,0.25,2.12,0.29481132075471694
2001,O1,20,0.715,0.43,1.0,0.715
2001,O2,20,0.71625,0.4325,23.0,0.03114130434782609
2001,O3,20,0.55375,0.1075,2.92,0.1896404109589041
2001,O4,20,0.525,0.05,2.92,0.17979452054794523
2001,O5R,20,0.625,0.25,2.92,0.21404109589041095
2001,O1,35,0.715,0.43,1.0,0.715
2001,O2,35,0.73125,0.4625,38.0,0.019243421052631576
2001,O3,35,0.55375,0.1075,4.12,0.13440533980582522
2001,O4,35,0.525,0.05,4.12,0.12742718446601942
2001,O5R,35,0.625,0.25,4.12,0.15169902912621358
2038,O1,0,0.6875,0.375,1.0,0.6875
2038,O2,0,0.60625,0.2125,3.0,0.2020833333333333
2038,O3,0,0.6425,0.285,1.3199999999999998,0.48674242424242425
2038,O4,0,0.6175,0.235,1.3199999999999998,0.4678030303030304
2038,O5R,0,0.645,0.29,1.3199999999999998,0.4886363636363637
2038,O1,2,0.6875,0.375,1.0,0.6875
2038,O2,2,0.61,0.22,5.0,0.122
2038,O3,2,0.6425,0.285,1.4799999999999998,0.43412162162162166
2038,O4,2,0.6175,0.235,1.4799999999999998,0.4172297297297298
2038,O5R,2,0.645,0.29,1.4799999999999998,0.4358108108108109
2038,O1,5,0.6875,0.375,1.0,0.6875
2038,O2,5,0.615,0.23,8.0,0.076875
2038,O3,5,0.645,0.29,1.7199999999999998,0.37500000000000006
2038,O4,5,0.6175,0.235,1.7199999999999998,0.3590116279069768
2038,O5R,5,0.645,0.29,1.7199999999999998,0.37500000000000006
2038,O1,10,0.6875,0.375,1.0,0.6875
2038,O2,10,0.63125,0.2625,13.0,0.04855769230769231
2038,O3,10,0.65375,0.3075,2.12,0.308372641509434
2038,O4,10,0.6175,0.235,2.12,0.2912735849056604
2038,O5R,10,0.645,0.29,2.12,0.30424528301886794
2038,O1,20,0.6875,0.375,1.0,0.6875
2038,O2,20,0.65125,0.3025,23.0,0.028315217391304347
2038,O3,20,0.6575,0.315,2.92,0.2251712328767123
2038,O4,20,0.6175,0.235,2.92,0.21147260273972604
2038,O5R,20,0.645,0.29,2.92,0.22089041095890413
2038,O1,35,0.6875,0.375,1.0,0.6875
2038,O2,35,0.6975,0.395,38.0,0.018355263157894736
2038,O3,35,0.6625,0.325,4.12,0.1608009708737864
2038,O4,35,0.61875,0.2375,4.12,0.15018203883495146
2038,O5R,35,0.645,0.29,4.12,0.15655339805825244
2075,O1,0,0.6725,0.345,1.0,0.6725
2075,O2,0,0.50625,0.0125,3.0,0.16874999999999998
2075,O3,0,0.6375,0.275,1.3199999999999998,0.48295454545454547
2075,O4,0,0.59875,0.1975,1.3199999999999998,0.4535984848484849
2075,O5R,0,0.645,0.29,1.3199999999999998,0.4886363636363637
2075,O1,2,0.6725,0.345,1.0,0.6725
2075,O2,2,0.50625,0.0125,5.0,0.10124999999999999
2075,O3,2,0.6375,0.275,1.4799999999999998,0.43074324324324326
2075,O4,2,0.59875,0.1975,1.4799999999999998,0.40456081081081086
2075,O5R,2,0.645,0.29,1.4799999999999998,0.4358108108108109
2075,O1,5,0.67125,0.3425,1.0,0.67125
2075,O2,5,0.50625,0.0125,8.0,0.06328125
2075,O3,5,0.6375,0.275,1.7199999999999998,0.370639534883721
2075,O4,5,0.59875,0.1975,1.7199999999999998,0.34811046511627913
2075,O5R,5,0.645,0.29,1.7199999999999998,0.37500000000000006
2075,O1,10,0.6725,0.345,1.0,0.6725
2075,O2,10,0.5075,0.015,13.0,0.039038461538461536
2075,O3,10,0.63875,0.2775,2.12,0.30129716981132076
2075,O4,10,0.59875,0.1975,2.12,0.2824292452830189
2075,O5R,10,0.645,0.29,2.12,0.30424528301886794
2075,O1,20,0.675,0.35,1.0,0.675
2075,O2,20,0.5125,0.025,23.0,0.022282608695652174
2075,O3,20,0.64,0.28,2.92,0.21917808219178084
2075,O4,20,0.59875,0.1975,2.92,0.2050513698630137
2075,O5R,20,0.645,0.29,2.92,0.22089041095890413
2075,O1,35,0.675,0.35,1.0,0.675
2075,O2,35,0.52,0.04,38.0,0.01368421052631579
2075,O3,35,0.64125,0.2825,4.12,0.15564320388349515
2075,O4,35,0.59875,0.1975,4.12,0.14532766990291263
2075,O5R,35,0.645,0.29,4.12,0.15655339805825244
2112,O1,0,0.71125,0.4225,1.0,0.71125
2112,O2,0,0.51375,0.0275,3.0,0.17125
2112,O3,0,0.77375,0.5475,1.3199999999999998,0.5861742424242425
2112,O4,0,0.6825,0.365,1.3199999999999998,0.5170454545454546
2112,O5R,0,0.65375,0.3075,1.3199999999999998,0.4952651515151516
2112,O1,2,0.71125,0.4225,1.0,0.71125
2112,O2,2,0.51375,0.0275,5.0,0.10275000000000001
2112,O3,2,0.77375,0.5475,1.4799999999999998,0.5228040540540542
2112,O4,2,0.6825,0.365,1.4799999999999998,0.46114864864864874
2112,O5R,2,0.65375,0.3075,1.4799999999999998,0.4417229729729731
2112,O1,5,0.71125,0.4225,1.0,0.71125
2112,O2,5,0.51375,0.0275,8.0,0.06421875
2112,O3,5,0.7725,0.545,1.7199999999999998,0.4491279069767442
2112,O4,5,0.6825,0.365,1.7199999999999998,0.3968023255813954
2112,O5R,5,0.65375,0.3075,1.7199999999999998,0.38008720930232565
2112,O1,10,0.71,0.42,1.0,0.71
2112,O2,10,0.515,0.03,13.0,0.039615384615384615
2112,O3,10,0.7725,0.545,2.12,0.3643867924528302
2112,O4,10,0.6825,0.365,2.12,0.32193396226415094
2112,O5R,10,0.65375,0.3075,2.12,0.308372641509434
2112,O1,20,0.71375,0.4275,1.0,0.71375
2112,O2,20,0.51875,0.0375,23.0,0.022554347826086958
2112,O3,20,0.7725,0.545,2.92,0.2645547945205479
2112,O4,20,0.6825,0.365,2.92,0.23373287671232876
2112,O5R,20,0.65375,0.3075,2.92,0.22388698630136988
2112,O1,35,0.71375,0.4275,1.0,0.71375
2112,O2,35,0.5275,0.055,38.0,0.01388157894736842
2112,O3,35,0.7725,0.545,4.12,0.1875
2112,O4,35,0.6825,0.365,4.12,0.16565533980582522
2112,O5R,35,0.65375,0.3075,4.12,0.15867718446601942
2149,O1,0,0.6625,0.325,1.0,0.6625
2149,O2,0,0.48625,-0.0275,3.0,0.16208333333333333
2149,O3,0,0.68375,0.3675,1.3199999999999998,0.5179924242424243
2149,O4,0,0.66625,0.3325,1.3199999999999998,0.5047348484848485
2149,O5R,0,0.48625,-0.0275,1.3199999999999998,0.36837121212121215
2149,O1,2,0.6625,0.325,1.0,0.6625
2149,O2,2,0.48625,-0.0275,5.0,0.09725
2149,O3,2,0.68375,0.3675,1.4799999999999998,0.4619932432432433
2149,O4,2,0.66625,0.3325,1.4799999999999998,0.450168918918919
2149,O5R,2,0.48625,-0.0275,1.4799999999999998,0.32854729729729737
2149,O1,5,0.6625,0.325,1.0,0.6625
2149,O2,5,0.48625,-0.0275,8.0,0.06078125
2149,O3,5,0.68375,0.3675,1.7199999999999998,0.3975290697674419
2149,O4,5,0.665,0.33,1.7199999999999998,0.38662790697674426
2149,O5R,5,0.48625,-0.0275,1.7199999999999998,0.2827034883720931
2149,O1,10,0.6625,0.325,1.0,0.6625
2149,O2,10,0.48875,-0.0225,13.0,0.03759615384615385
2149,O3,10,0.6825,0.365,2.12,0.32193396226415094
2149,O4,10,0.665,0.33,2.12,0.3136792452830189
2149,O5R,10,0.48625,-0.0275,2.12,0.2293632075471698
2149,O1,20,0.6625,0.325,1.0,0.6625
2149,O2,20,0.4925,-0.015,23.0,0.021413043478260868
2149,O3,20,0.68375,0.3675,2.92,0.2341609589041096
2149,O4,20,0.665,0.33,2.92,0.22773972602739728
2149,O5R,20,0.48625,-0.0275,2.92,0.16652397260273974
2149,O1,35,0.6625,0.325,1.0,0.6625
2149,O2,35,0.50125,0.0025,38.0,0.01319078947368421
2149,O3,35,0.68375,0.3675,4.12,0.16595873786407767
2149,O4,35,0.665,0.33,4.12,0.16140776699029127
2149,O5R,35,0.48625,-0.0275,4.12,0.11802184466019418
2186,O1,0,0.635,0.27,1.0,0.635
2186,O2,0,0.515,0.03,3.0,0.17166666666666666
2186,O3,0,0.67125,0.3425,1.3199999999999998,0.5085227272727273
2186,O4,0,0.65875,0.3175,1.3199999999999998,0.49905303030303033
2186,O5R,0,0.65,0.3,1.3199999999999998,0.4924242424242425
2186,O1,2,0.635,0.27,1.0,0.635
2186,O2,2,0.515,0.03,5.0,0.10300000000000001
2186,O3,2,0.67125,0.3425,1.4799999999999998,0.45354729729729737
2186,O4,2,0.65875,0.3175,1.4799999999999998,0.44510135135135137
2186,O5R,2,0.65,0.3,1.4799999999999998,0.43918918918918926
2186,O1,5,0.635,0.27,1.0,0.635
2186,O2,5,0.51625,0.0325,8.0,0.06453125
2186,O3,5,0.67125,0.3425,1.7199999999999998,0.3902616279069768
2186,O4,5,0.65875,0.3175,1.7199999999999998,0.38299418604651164
2186,O5R,5,0.65,0.3,1.7199999999999998,0.3779069767441861
2186,O1,10,0.6375,0.275,1.0,0.6375
2186,O2,10,0.52125,0.0425,13.0,0.040096153846153844
2186,O3,10,0.67125,0.3425,2.12,0.316627358490566
2186,O4,10,0.65875,0.3175,2.12,0.31073113207547165
2186,O5R,10,0.65,0.3,2.12,0.30660377358490565
2186,O1,20,0.6425,0.285,1.0,0.6425
2186,O2,20,0.52375,0.0475,23.0,0.022771739130434784
2186,O3,20,0.67125,0.3425,2.92,0.2298801369863014
2186,O4,20,0.65875,0.3175,2.92,0.22559931506849315
2186,O5R,20,0.65,0.3,2.92,0.2226027397260274
2186,O1,35,0.6425,0.285,1.0,0.6425
2186,O2,35,0.53625,0.0725,38.0,0.014111842105263159
2186,O3,35,0.67125,0.3425,4.12,0.1629247572815534
2186,O4,35,0.65875,0.3175,4.12,0.1598907766990291
2186,O5R,35,0.65,0.3,4.12,0.15776699029126215
2223,O1,0,0.725,0.45,1.0,0.725
2223,O2,0,0.51375,0.0275,3.0,0.17125
2223,O3,0,0.70625,0.4125,1.3199999999999998,0.5350378787878789
2223,O4,0,0.64875,0.2975,1.3199999999999998,0.4914772727272728
2223,O5R,0,0.66375,0.3275,1.3199999999999998,0.5028409090909091
2223,O1,2,0.725,0.45,1.0,0.725
2223,O2,2,0.51375,0.0275,5.0,0.10275000000000001
2223,O3,2,0.70625,0.4125,1.4799999999999998,0.47719594594594605
