seed,observer,observer_a,observer_b,cosine
2001,O1,O1,O1,1.0000001192092896
2001,O1,O1,O2,0.5431939363479614
2001,O1,O1,O3,0.5383119583129883
2001,O1,O1,O4,0.697723388671875
2001,O1,O1,O5R,0.1814759522676468
2001,O2,O2,O1,0.5431939363479614
2001,O2,O2,O2,1.0
2001,O2,O2,O3,0.23572808504104614
2001,O2,O2,O4,0.5410993099212646
2001,O2,O2,O5R,0.2061653435230255
2001,O3,O3,O1,0.5383119583129883
2001,O3,O3,O2,0.23572808504104614
2001,O3,O3,O3,1.0
2001,O3,O3,O4,0.43598970770835876
2001,O3,O3,O5R,-0.030310412868857384
2001,O4,O4,O1,0.697723388671875
2001,O4,O4,O2,0.5410993099212646
2001,O4,O4,O3,0.43598970770835876
2001,O4,O4,O4,1.0
2001,O4,O4,O5R,0.17905457317829132
2001,O5R,O5R,O1,0.1814759522676468
2001,O5R,O5R,O2,0.2061653435230255
2001,O5R,O5R,O3,-0.030310412868857384
2001,O5R,O5R,O4,0.17905457317829132
2001,O5R,O5R,O5R,1.0000001192092896
2038,O1,O1,O1,1.0000001192092896
2038,O1,O1,O2,0.5120335817337036
2038,O1,O1,O3,0.7707400918006897
2038,O1,O1,O4,0.5507845878601074
2038,O1,O1,O5R,0.1812949925661087
2038,O2,O2,O1,0.5120335817337036
2038,O2,O2,O2,0.9999998807907104
2038,O2,O2,O3,0.5996101498603821
2038,O2,O2,O4,0.42161840200424194
2038,O2,O2,O5R,0.21630370616912842
2038,O3,O3,O1,0.7707400918006897
2038,O3,O3,O2,0.5996101498603821
2038,O3,O3,O3,1.0000001192092896
2038,O3,O3,O4,0.5270507335662842
2038,O3,O3,O5R,0.1389007717370987
2038,O4,O4,O1,0.5507845878601074
2038,O4,O4,O2,0.42161840200424194
2038,O4,O4,O3,0.5270507335662842
2038,O4,O4,O4,1.0
2038,O4,O4,O5R,0.1811489313840866
2038,O5R,O5R,O1,0.1812949925661087
2038,O5R,O5R,O2,0.21630370616912842
2038,O5R,O5R,O3,0.1389007717370987
2038,O5R,O5R,O4,0.1811489313840866
2038,O5R,O5R,O5R,1.0
2075,O1,O1,O1,1.0
2075,O1,O1,O2,0.839302122592926
2075,O1,O1,O3,0.8928908109664917
2075,O1,O1,O4,0.8649872541427612
2075,O1,O1,O5R,0.262934148311615
2075,O2,O2,O1,0.839302122592926
2075,O2,O2,O2,0.9999998807907104
2075,O2,O2,O3,0.7523882389068604
2075,O2,O2,O4,0.8013301491737366
2075,O2,O2,O5R,0.24921146035194397
2075,O3,O3,O1,0.8928908109664917
2075,O3,O3,O2,0.7523882389068604
2075,O3,O3,O3,1.0000001192092896
2075,O3,O3,O4,0.9043025374412537
2075,O3,O3,O5R,0.2008933573961258
2075,O4,O4,O1,0.8649872541427612
2075,O4,O4,O2,0.8013301491737366
2075,O4,O4,O3,0.9043025374412537
2075,O4,O4,O4,1.0000001192092896
2075,O4,O4,O5R,0.12848220765590668
2075,O5R,O5R,O1,0.262934148311615
2075,O5R,O5R,O2,0.24921146035194397
2075,O5R,O5R,O3,0.2008933573961258
2075,O5R,O5R,O4,0.12848220765590668
2075,O5R,O5R,O5R,1.0
2112,O1,O1,O1,0.9999998807907104
2112,O1,O1,O2,0.8025356531143188
2112,O1,O1,O3,0.7960602045059204
2112,O1,O1,O4,0.49140554666519165
2112,O1,O1,O5R,0.47301748394966125
2112,O2,O2,O1,0.8025356531143188
2112,O2,O2,O2,1.0
2112,O2,O2,O3,0.7464847564697266
2112,O2,O2,O4,0.49244311451911926
2112,O2,O2,O5R,0.5588966012001038
2112,O3,O3,O1,0.7960602045059204
2112,O3,O3,O2,0.7464847564697266
2112,O3,O3,O3,1.0000001192092896
2112,O3,O3,O4,0.43133479356765747
2112,O3,O3,O5R,0.5526177883148193
2112,O4,O4,O1,0.49140554666519165
2112,O4,O4,O2,0.49244311451911926
2112,O4,O4,O3,0.43133479356765747
2112,O4,O4,O4,1.0
2112,O4,O4,O5R,0.27415817975997925
2112,O5R,O5R,O1,0.47301748394966125
2112,O5R,O5R,O2,0.5588966012001038
2112,O5R,O5R,O3,0.5526177883148193
2112,O5R,O5R,O4,0.27415817975997925
2112,O5R,O5R,O5R,1.0000001192092896
2149,O1,O1,O1,1.0
2149,O1,O1,O2,0.4812715947628021
2149,O1,O1,O3,0.737832248210907
2149,O1,O1,O4,0.7013737559318542
2149,O1,O1,O5R,0.2159603387117386
2149,O2,O2,O1,0.4812715947628021
2149,O2,O2,O2,0.9999998807907104
2149,O2,O2,O3,0.42210960388183594
2149,O2,O2,O4,0.5039082169532776
2149,O2,O2,O5R,0.3450053334236145
2149,O3,O3,O1,0.737832248210907
2149,O3,O3,O2,0.42210960388183594
2149,O3,O3,O3,1.0
2149,O3,O3,O4,0.6292256712913513
2149,O3,O3,O5R,0.19482088088989258
2149,O4,O4,O1,0.7013737559318542
2149,O4,O4,O2,0.5039082169532776
2149,O4,O4,O3,0.6292256712913513
2149,O4,O4,O4,1.0
2149,O4,O4,O5R,0.25681328773498535
2149,O5R,O5R,O1,0.2159603387117386
2149,O5R,O5R,O2,0.3450053334236145
2149,O5R,O5R,O3,0.19482088088989258
2149,O5R,O5R,O4,0.25681328773498535
2149,O5R,O5R,O5R,1.0
