seed,observer,mode,accuracy,reward,replay_accept_rate
2001,O1,MDP_control,1.0,1.0,0.0
2001,O2,MDP_control,1.0,1.0,0.0
2001,O3,MDP_control,1.0,1.0,0.0
2001,O4,MDP_control,1.0,1.0,1.0
2001,O5R,MDP_control,1.0,1.0,1.0
2038,O1,MDP_control,1.0,1.0,0.0
2038,O2,MDP_control,1.0,1.0,0.0
2038,O3,MDP_control,1.0,1.0,0.0
2038,O4,MDP_control,1.0,1.0,1.0
2038,O5R,MDP_control,1.0,1.0,1.0
2075,O1,MDP_control,1.0,1.0,0.0
2075,O2,MDP_control,1.0,1.0,0.0
2075,O3,MDP_control,1.0,1.0,0.0
2075,O4,MDP_control,1.0,1.0,1.0
2075,O5R,MDP_control,1.0,1.0,1.0
2112,O1,MDP_control,1.0,1.0,0.0
2112,O2,MDP_control,1.0,1.0,0.0
2112,O3,MDP_control,1.0,1.0,0.0
2112,O4,MDP_control,1.0,1.0,1.0
2112,O5R,MDP_control,1.0,1.0,1.0
2149,O1,MDP_control,1.0,1.0,0.0
2149,O2,MDP_control,1.0,1.0,0.0
2149,O3,MDP_control,1.0,1.0,0.0
2149,O4,MDP_control,1.0,1.0,1.0
2149,O5R,MDP_control,1.0,1.0,1.0
2186,O1,MDP_control,1.0,1.0,0.0
2186,O2,MDP_control,1.0,1.0,0.0
2186,O3,MDP_control,1.0,1.0,0.0
2186,O4,MDP_control,1.0,1.0,1.0
2186,O5R,MDP_control,1.0,1.0,1.0
2223,O1,MDP_control,1.0,1.0,0.0
2223,O2,MDP_control,1.0,1.0,0.0
2223,O3,MDP_control,1.0,1.0,0.0
2223,O4,MDP_control,1.0,1.0,1.0
2223,O5R,MDP_control,1.0,1.0,1.0
2260,O1,MDP_control,1.0,1.0,0.0
2260,O2,MDP_control,0.7433333333333333,0.4866666666666667,0.0
2260,O3,MDP_control,1.0,1.0,0.0
2260,O4,MDP_control,1.0,1.0,1.0
2260,O5R,MDP_control,1.0,1.0,1.0
2297,O1,MDP_control,1.0,1.0,0.0
2297,O2,MDP_control,0.7233333333333334,0.44666666666666666,0.0
2297,O3,MDP_control,1.0,1.0,0.0
2297,O4,MDP_control,1.0,1.0,1.0
2297,O5R,MDP_control,1.0,1.0,1.0
2334,O1,MDP_control,1.0,1.0,0.0
2334,O2,MDP_control,0.7933333333333333,0.5866666666666667,0.0
2334,O3,MDP_control,1.0,1.0,0.0
2334,O4,MDP_control,1.0,1.0,1.0
2334,O5R,MDP_control,1.0,1.0,1.0
2371,O1,MDP_control,1.0,1.0,0.0
2371,O2,MDP_control,1.0,1.0,0.0
2371,O3,MDP_control,1.0,1.0,0.0
2371,O4,MDP_control,1.0,1.0,1.0
2371,O5R,MDP_control,1.0,1.0,1.0
2408,O1,MDP_control,1.0,1.0,0.0
2408,O2,MDP_control,1.0,1.0,0.0
2408,O3,MDP_control,1.0,1.0,0.0
2408,O4,MDP_control,1.0,1.0,1.0
2408,O5R,MDP_control,1.0,1.0,1.0
2445,O1,MDP_control,1.0,1.0,0.0
2445,O2,MDP_control,1.0,1.0,0.0
2445,O3,MDP_control,1.0,1.0,0.0
2445,O4,MDP_control,1.0,1.0,1.0
2445,O5R,MDP_control,1.0,1.0,1.0
2482,O1,MDP_control,1.0,1.0,0.0
2482,O2,MDP_control,0.76,0.52,0.0
2482,O3,MDP_control,1.0,1.0,0.0
2482,O4,MDP_control,1.0,1.0,1.0
2482,O5R,MDP_control,1.0,1.0,1.0
2519,O1,MDP_control,1.0,1.0,0.0
2519,O2,MDP_control,1.0,1.0,0.0
2519,O3,MDP_control,1.0,1.0,0.0
2519,O4,MDP_control,1.0,1.0,1.0
2519,O5R,MDP_control,1.0,1.0,1.0
2556,O1,MDP_control,1.0,1.0,0.0
2556,O2,MDP_control,1.0,1.0,0.0
2556,O3,MDP_control,1.0,1.0,0.0
2556,O4,MDP_control,1.0,1.0,1.0
2556,O5R,MDP_control,1.0,1.0,1.0
2593,O1,MDP_control,1.0,1.0,0.0
2593,O2,MDP_control,1.0,1.0,0.0
2593,O3,MDP_control,1.0,1.0,0.0
2593,O4,MDP_control,1.0,1.0,1.0
2593,O5R,MDP_control,1.0,1.0,1.0
