condition,seed,observer,accuracy,reward,no_memory_accuracy,high_distractor_accuracy,base_accuracy,lora_ablated_accuracy,lora_ablated_no_memory_accuracy,lora_norm,total_params,trainable_params,test_n,tp,tn,fp,fn,H_hazard_bits,I_central_hazard_bits,I_peripheral_hazard_bits,I_peripheral_hazard_given_central_bits,I_ticket_hazard_bits,replay_attempted,replay_accepted,replay_accept_rate,replay_gain_mean,C_att,D_cue,N_sup,A_util,R_gain,T_gain,C_res,F_assoc,I_ret,I_adapter_gain,I_durable_no_memory_gain,R_ret,U_adapt,P_chain,Q_proc,OWGE_plus
main,2001,O1,0.715,0.43,0.625,0.715,0.6675,0.6675,0.625,3.322988271713257,12466,392,800,211,361,42,186,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138,0.0,0.0,0.0,0.0,0.27631409853304445,0.0,1.0,0.12587412587412583,0.0,0.14285714285714282,0.1963,0.0,0.0,0.14285714285714282,0.0,0.59,0.715,0.007499859582562189,0.1990239974654239,0.0014926520345508922
main,2001,O2,0.6975,0.395,0.625,0.73125,0.50375,0.50375,0.50375,2.90529203414917,12466,392,800,179,379,24,218,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138,0.0,0.0,0.0,0.0,0.5340053781919443,0.125,0.375,0.10394265232974911,0.0,0.3904282115869017,0.6088,0.0,0.24433249370277074,0.3904282115869017,0.24433249370277074,0.5725,0.6975,0.4603640086498151,0.18050712684393377,0.083098984503734
main,2001,O3,0.55375,0.1075,0.57625,0.55375,0.665,0.665,0.625,2.007427215576172,12466,392,800,42,401,2,355,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138,0.0,0.0,0.0,0.0,0.607816150075976,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,0.2513,0.0,0.0,0.0,0.0,0.4774999999999999,0.55375,0.0064184417326412675,0.19502180859063875,0.001251736115033333
main,2001,O4,0.525,0.05,0.57625,0.525,0.665,0.665,0.625,1.7548378705978394,12466,392,800,17,403,0,380,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138,15.0,11.0,0.7333333333333333,0.005909090909090914,0.607816150075976,0.11627906976744189,0.7674418604651162,0.0,0.002954545454545457,0.0,1.1513,0.0,0.0,0.0,0.0,0.44875,0.525,0.006176207143249527,0.12722552453108613,0.0007857711934125621
main,2001,O5R,0.625,0.25,0.625,0.625,0.625,0.625,0.625,2.1226844787597656,12466,392,800,250,250,153,147,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138,15.0,15.0,1.0,0.0,0.607816150075976,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.625,0.0067860521847375845,0.12698755471746545,0.00086174417312494
main,2038,O1,0.6875,0.375,0.645,0.6875,0.6875,0.6875,0.645,3.5482068061828613,12466,392,800,155,395,23,227,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424,0.0,0.0,0.0,0.0,0.31965271801290085,0.0,1.0,0.06181818181818179,0.0,0.0,0.1963,0.0,0.0,0.0,0.0,0.5425,0.6875,0.007198211875920415,0.17287615960520875,0.0012443992251337267
main,2038,O2,0.615,0.23,0.645,0.6975,0.5225,0.5225,0.52375,2.2966580390930176,12466,392,800,76,416,2,306,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424,0.0,0.0,0.0,0.0,0.5526685832551685,0.125,0.375,0.0,0.0,0.19371727748691103,0.6088,0.0,0.2545931758530183,0.19371727748691103,0.2545931758530183,0.47,0.615,0.41905821244557206,0.14455675771965912,0.060577696486928
main,2038,O3,0.645,0.29,0.645,0.6625,0.6875,0.6875,0.645,2.5390350818634033,12466,392,800,113,403,15,269,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424,0.0,0.0,0.0,0.0,0.6378450276140193,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,0.2513,0.0,0.0,0.0,0.0,0.5,0.645,0.006857677966163686,0.19966484752729877,0.0013692372255053886
main,2038,O4,0.6175,0.235,0.645,0.61875,0.6875,0.6875,0.645,1.4733107089996338,12466,392,800,82,412,6,300,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424,15.0,14.0,0.9333333333333333,0.012499999999999999,0.6378450276140193,0.11627906976744189,0.7674418604651162,0.0,0.0062499999999999995,0.0,1.1513,0.0,0.0,0.0,0.0,0.47250000000000003,0.6175,0.006632543887831657,0.13051424587322558,0.0008656414637414203
main,2038,O5R,0.645,0.29,0.645,0.645,0.645,0.645,0.645,2.6135711669921875,12466,392,800,243,273,145,139,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424,15.0,15.0,1.0,0.0,0.6378450276140193,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.645,0.006857677966163686,0.13001084819056646,0.0008915725289986995
main,2075,O1,0.67125,0.3425,0.645,0.675,0.64375,0.64375,0.645,2.7959258556365967,12466,392,800,157,380,25,238,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946,0.0,0.0,0.0,0.0,0.3216259397772421,0.0,1.0,0.03910614525139664,0.0,0.07719298245614027,0.1963,0.0,0.0,0.07719298245614027,0.0,0.52625,0.67125,0.007069021349033385,0.1819005168016936,0.0012858586366713781
main,2075,O2,0.50625,0.0125,0.515,0.52,0.50625,0.50625,0.50625,2.2687134742736816,12466,392,800,0,405,0,395,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946,0.0,0.0,0.0,0.0,0.5529538230214606,0.125,0.375,0.0,0.0,0.0,0.6088,0.0,0.017721518987341842,0.0,0.017721518987341842,0.49124999999999996,0.50625,0.16395761689913876,0.1198965082359063,0.01965794576488716
main,2075,O3,0.6375,0.275,0.56625,0.64125,0.64125,0.64125,0.645,4.265600204467773,12466,392,800,119,391,14,276,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946,0.0,0.0,0.0,0.0,0.6389613302375987,0.11627906976744189,0.7674418604651162,0.11176470588235284,0.0,0.0,0.2513,0.0,0.0,0.0,0.0,0.5712499999999999,0.6375,0.007141168509902047,0.21711841091935366,0.001550479158977261
main,2075,O4,0.59875,0.1975,0.645,0.59875,0.64125,0.64125,0.645,3.7775511741638184,12466,392,800,78,401,4,317,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946,15.0,11.0,0.7333333333333333,0.0027272727272727297,0.6389613302375987,0.11627906976744189,0.7674418604651162,0.0,0.0013636363636363648,0.0,1.1513,0.0,0.0,0.0,0.0,0.45375,0.59875,0.006476712446407151,0.1302330692430088,0.0008434821404999993
main,2075,O5R,0.645,0.29,0.645,0.645,0.645,0.645,0.645,3.399722099304199,12466,392,800,255,261,144,140,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946,15.0,15.0,1.0,0.0,0.6389613302375987,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.645,0.006857677966163686,0.1301232370213377,0.0008923432554071224
main,2112,O1,0.71125,0.4225,0.65375,0.71375,0.68625,0.68625,0.65375,2.277401924133301,12466,392,800,180,389,22,209,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05,0.0,0.0,0.0,0.0,0.3713098694454372,0.0,1.0,0.08084358523725833,0.0,0.07968127490039849,0.1963,0.0,0.0,0.07968127490039849,0.0,0.5575,0.71125,0.007346652763450215,0.19691223994275578,0.0014466458517326186
main,2112,O2,0.51375,0.0275,0.51875,0.5275,0.51375,0.51375,0.5175,2.0868866443634033,12466,392,800,0,411,0,389,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05,0.0,0.0,0.0,0.0,0.5705273120154607,0.125,0.375,0.0,0.0,0.0,0.6088,0.0,0.0025906735751297085,0.0,0.0025906735751297085,0.495,0.51375,0.08702546497568,0.12213691591603401,0.010629021898288392
main,2112,O3,0.7725,0.545,0.65375,0.7725,0.6825,0.6825,0.65375,3.170064687728882,12466,392,800,286,332,79,103,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05,0.0,0.0,0.0,0.0,0.6715982246548333,0.11627906976744189,0.7674418604651162,0.15372168284789633,0.0,0.28346456692913374,0.2513,0.0,0.0,0.28346456692913374,0.0,0.6187499999999999,0.7725,0.00781876790139073,0.2724810953412307,0.002130466441989802
main,2112,O4,0.6825,0.365,0.65375,0.6825,0.6825,0.6825,0.65375,1.3164032697677612,12466,392,800,150,396,15,239,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05,15.0,12.0,0.8,0.001666666666666668,0.6715982246548333,0.11627906976744189,0.7674418604651162,0.04212454212454204,0.000833333333333334,0.0,1.1513,0.0,0.0,0.0,0.0,0.5287499999999999,0.6825,0.007119532845111298,0.13771730349383818,0.0009804828655645419
main,2112,O5R,0.65375,0.3075,0.65375,0.65375,0.65375,0.65375,0.65375,2.953652858734131,12466,392,800,253,270,141,136,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05,15.0,15.0,1.0,0.0,0.6715982246548333,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.65375,0.00688854891069393,0.13340910442510287,0.0009189951409641952
main,2149,O1,0.6625,0.325,0.635,0.6625,0.66625,0.66625,0.635,2.2688210010528564,12466,392,800,155,375,14,256,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349,0.0,0.0,0.0,0.0,0.2944056771798357,0.0,1.0,0.04150943396226411,0.0,0.0,0.1963,0.0,0.0,0.0,0.0,0.5275,0.6625,0.007043739323975216,0.16559393888381171,0.0011664005391278532
main,2149,O2,0.48625,-0.0275,0.4875,0.50125,0.48625,0.48625,0.485,2.2829091548919678,12466,392,800,0,389,0,411,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349,0.0,0.0,0.0,0.0,0.5412247967468893,0.125,0.375,0.0,0.0,0.0,0.6088,0.0,0.004854368932038839,0.0,0.004854368932038839,0.49875,0.48625,0.10559795489492457,0.11840119899168387,0.012502924470628823
main,2149,O3,0.68375,0.3675,0.635,0.68375,0.6625,0.6625,0.635,2.434201955795288,12466,392,800,180,367,22,231,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349,0.0,0.0,0.0,0.0,0.6201083751655853,0.11627906976744189,0.7674418604651162,0.07129798903107855,0.0,0.06296296296296293,0.2513,0.0,0.0,0.06296296296296293,0.0,0.54875,0.68375,0.007212587580679568,0.21768173341228955,0.0015700485669502802
main,2149,O4,0.665,0.33,0.635,0.665,0.6625,0.6625,0.635,2.437481641769409,12466,392,800,158,374,15,253,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349,15.0,9.0,0.6,0.005555555555555554,0.6201083751655853,0.11627906976744189,0.7674418604651162,0.04511278195488726,0.002777777777777777,0.007407407407407578,1.1513,0.0,0.0,0.007407407407407578,0.0,0.53,0.665,0.007063712192281295,0.13373657086939553,0.0009446766462040407
main,2149,O5R,0.48625,-0.0275,0.48625,0.48625,0.635,0.635,0.635,3.026831865310669,12466,392,800,0,389,0,411,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349,15.0,15.0,1.0,0.0,0.6201083751655853,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.48625,0.006241329727122606,0.12822513024243212,0.0008002953171462596
main,2186,O1,0.635,0.27,0.65,0.6425,0.67125,0.67125,0.65,2.6511635780334473,12466,392,800,111,397,15,277,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434,0.0,0.0,0.0,0.0,0.32494339409776574,0.0,1.0,0.0,0.0,0.0,0.1963,0.0,0.0,0.0,0.0,0.485,0.635,0.006753138878505856,0.1638400791107973,0.0011064348081006004
main,2186,O2,0.51625,0.0325,0.52375,0.53625,0.515,0.515,0.51625,2.295196056365967,12466,392,800,1,412,0,387,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434,0.0,0.0,0.0,0.0,0.5530811922053338,0.125,0.375,0.0,0.0,0.0025773195876288113,0.6088,0.0,0.015503875968992376,0.0025773195876288113,0.015503875968992376,0.49249999999999994,0.51625,0.1579715112927218,0.12024132340027674,0.018994703577378633
main,2186,O3,0.67125,0.3425,0.65,0.67125,0.66625,0.66625,0.65,2.45465087890625,12466,392,800,143,394,18,245,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434,0.0,0.0,0.0,0.0,0.6406819842579541,0.11627906976744189,0.7674418604651162,0.031657355679702036,0.0,0.014981273408239714,0.2513,0.0,0.0,0.014981273408239714,0.0,0.52125,0.67125,0.0070465620781201095,0.207314719577166,0.0014608560412085626
main,2186,O4,0.65875,0.3175,0.65,0.65875,0.66625,0.66625,0.65,2.6345419883728027,12466,392,800,133,394,18,255,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434,15.0,13.0,0.8666666666666667,0.0038461538461538494,0.6406819842579541,0.11627906976744189,0.7674418604651162,0.013282732447817724,0.0019230769230769247,0.0,1.1513,0.0,0.0,0.0,0.0,0.5087499999999999,0.65875,0.0069461184958116064,0.13178866261202551,0.0009154196669076659
main,2186,O5R,0.65,0.3,0.65,0.65,0.65,0.65,0.65,2.329094886779785,12466,392,800,258,262,150,130,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434,15.0,15.0,1.0,0.0,0.6406819842579541,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.65,0.006875352444748692,0.1302964716706387,0.0008958341650428546
main,2223,O1,0.725,0.45,0.66375,0.7275,0.725,0.725,0.66375,2.9804773330688477,12466,392,800,184,396,15,205,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097,0.0,0.0,0.0,0.0,0.38818211264671776,0.0,1.0,0.0844827586206897,0.0,0.0,0.1963,0.0,0.0,0.0,0.0,0.56125,0.725,0.0074102338090721726,0.18745377196955562,0.0013890762786869066
main,2223,O2,0.51375,0.0275,0.66375,0.5325,0.51375,0.51375,0.515,4.349284648895264,12466,392,800,0,411,0,389,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097,0.0,0.0,0.0,0.0,0.577662833049534,0.125,0.375,0.0,0.0,0.0,0.6088,0.0,0.3067010309278349,0.0,0.3067010309278349,0.3500000000000001,0.51375,0.3806386394946003,0.12304660869997172,0.04683629372998169
main,2223,O3,0.70625,0.4125,0.66375,0.70625,0.72,0.72,0.66375,4.372727394104004,12466,392,800,174,391,20,215,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097,0.0,0.0,0.0,0.0,0.683171541867799,0.11627906976744189,0.7674418604651162,0.06017699115044261,0.0,0.0,0.2513,0.0,0.0,0.0,0.0,0.5425000000000001,0.70625,0.0072630640315330544,0.215977707804055,0.0015686599211645878
main,2223,O4,0.64875,0.2975,0.51375,0.6525,0.72,0.72,0.66375,3.7983906269073486,12466,392,800,115,404,7,274,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097,15.0,11.0,0.7333333333333333,0.0036363636363636394,0.683171541867799,0.11627906976744189,0.7674418604651162,0.20809248554913296,0.0018181818181818197,0.0,1.1513,0.0,0.0,0.0,0.0,0.635,0.64875,0.007440763194865409,0.1556713986013096,0.001158314013205847
main,2223,O5R,0.66375,0.3275,0.66375,0.66375,0.66375,0.66375,0.66375,2.8024778366088867,12466,392,800,252,279,132,137,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097,15.0,15.0,1.0,0.0,0.683171541867799,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.66375,0.006923494535621731,0.13457430063824002,0.0009317244351039707
main,2260,O1,0.69375,0.3875,0.645,0.69375,0.6625,0.6625,0.645,3.0644712448120117,12466,392,800,172,383,31,214,0.9991161687869752,0.061268592458955995,0.28924628824365983,0.2775309664349206,0.0010796643890185129,0.0,0.0,0.0,0.0,0.3306296911797678,0.0,1.0,0.07027027027027022,0.0,0.09259259259259259,0.1963,0.0,0.0,0.09259259259259259,0.0,0.54875,0.69375,0.0072475794059512644,0.1907831355356197,0.0013827159241107663
