seed,observer,reversal_epoch,accuracy,reward
2001,O3,1,0.6625,0.325
2001,O3,2,0.71,0.42
2001,O3,3,0.7225,0.445
2001,O3,4,0.7725,0.545
2001,O3,5,0.7825,0.565
2001,O3,6,0.72,0.44
2001,O3,7,0.7575,0.515
2001,O4,1,0.5725,0.145
2001,O4,2,0.5725,0.145
2001,O4,3,0.635,0.27
2001,O4,4,0.6625,0.325
2001,O4,5,0.71,0.42
2001,O4,6,0.7075,0.415
2001,O4,7,0.6625,0.325
2038,O3,1,0.6125,0.225
2038,O3,2,0.615,0.23
2038,O3,3,0.5425,0.085
2038,O3,4,0.5075,0.015
2038,O3,5,0.5075,0.015
2038,O3,6,0.5425,0.085
2038,O3,7,0.5125,0.025
2038,O4,1,0.5075,0.015
2038,O4,2,0.5075,0.015
2038,O4,3,0.5075,0.015
2038,O4,4,0.5075,0.015
2038,O4,5,0.5075,0.015
2038,O4,6,0.5075,0.015
2038,O4,7,0.5075,0.015
2075,O3,1,0.5075,0.015
2075,O3,2,0.4975,-0.005
2075,O3,3,0.5075,0.015
2075,O3,4,0.4975,-0.005
2075,O3,5,0.4675,-0.065
2075,O3,6,0.5075,0.015
2075,O3,7,0.5575,0.115
2075,O4,1,0.5525,0.105
2075,O4,2,0.5275,0.055
2075,O4,3,0.55,0.1
2075,O4,4,0.56,0.12
2075,O4,5,0.515,0.03
2075,O4,6,0.5075,0.015
2075,O4,7,0.585,0.17
2112,O3,1,0.6825,0.365
2112,O3,2,0.6525,0.305
2112,O3,3,0.66,0.32
2112,O3,4,0.7,0.4
2112,O3,5,0.6825,0.365
2112,O3,6,0.6375,0.275
2112,O3,7,0.635,0.27
2112,O4,1,0.6475,0.295
2112,O4,2,0.6825,0.365
2112,O4,3,0.6825,0.365
2112,O4,4,0.6825,0.365
2112,O4,5,0.525,0.05
2112,O4,6,0.63,0.26
2112,O4,7,0.5875,0.175
2149,O3,1,0.6675,0.335
2149,O3,2,0.55,0.1
2149,O3,3,0.5075,0.015
2149,O3,4,0.62,0.24
2149,O3,5,0.635,0.27
2149,O3,6,0.62,0.24
2149,O3,7,0.62,0.24
2149,O4,1,0.6675,0.335
2149,O4,2,0.5825,0.165
2149,O4,3,0.6525,0.305
2149,O4,4,0.5825,0.165
2149,O4,5,0.5875,0.175
2149,O4,6,0.545,0.09
2149,O4,7,0.525,0.05
2186,O3,1,0.68,0.36
2186,O3,2,0.68,0.36
2186,O3,3,0.705,0.41
2186,O3,4,0.725,0.45
2186,O3,5,0.705,0.41
2186,O3,6,0.695,0.39
2186,O3,7,0.68,0.36
2186,O4,1,0.5275,0.055
2186,O4,2,0.555,0.11
2186,O4,3,0.6575,0.315
2186,O4,4,0.68,0.36
2186,O4,5,0.6725,0.345
2186,O4,6,0.68,0.36
2186,O4,7,0.68,0.36
2223,O3,1,0.6575,0.315
2223,O3,2,0.6575,0.315
2223,O3,3,0.65,0.3
2223,O3,4,0.635,0.27
2223,O3,5,0.615,0.23
2223,O3,6,0.485,-0.03
2223,O3,7,0.6,0.2
2223,O4,1,0.6675,0.335
2223,O4,2,0.61,0.22
2223,O4,3,0.67,0.34
2223,O4,4,0.6075,0.215
2223,O4,5,0.485,-0.03
2223,O4,6,0.485,-0.03
2223,O4,7,0.485,-0.03
2260,O3,1,0.6,0.2
2260,O3,2,0.6325,0.265
2260,O3,3,0.6075,0.215
2260,O3,4,0.4825,-0.035
2260,O3,5,0.5225,0.045
2260,O3,6,0.6025,0.205
2260,O3,7,0.6075,0.215
2260,O4,1,0.45,-0.1
2260,O4,2,0.45,-0.1
2260,O4,3,0.45,-0.1
2260,O4,4,0.45,-0.1
2260,O4,5,0.45,-0.1
2260,O4,6,0.45,-0.1
2260,O4,7,0.45,-0.1
2297,O3,1,0.56,0.12
2297,O3,2,0.5625,0.125
2297,O3,3,0.5475,0.095
2297,O3,4,0.5475,0.095
2297,O3,5,0.5825,0.165
2297,O3,6,0.5975,0.195
2297,O3,7,0.585,0.17
2297,O4,1,0.57,0.14
2297,O4,2,0.5425,0.085
2297,O4,3,0.5475,0.095
2297,O4,4,0.6325,0.265
2297,O4,5,0.6475,0.295
2297,O4,6,0.6825,0.365
2297,O4,7,0.675,0.35
2334,O3,1,0.64,0.28
2334,O3,2,0.6425,0.285
2334,O3,3,0.6425,0.285
2334,O3,4,0.6325,0.265
2334,O3,5,0.6425,0.285
2334,O3,6,0.6325,0.265
2334,O3,7,0.575,0.15
2334,O4,1,0.7425,0.485
2334,O4,2,0.77,0.54
2334,O4,3,0.75,0.5
2334,O4,4,0.745,0.49
2334,O4,5,0.745,0.49
2334,O4,6,0.745,0.49
2334,O4,7,0.745,0.49
2371,O3,1,0.605,0.21
2371,O3,2,0.6025,0.205
2371,O3,3,0.6825,0.365
2371,O3,4,0.68,0.36
2371,O3,5,0.68,0.36
2371,O3,6,0.68,0.36
2371,O3,7,0.6925,0.385
2371,O4,1,0.7625,0.525
2371,O4,2,0.77,0.54
2371,O4,3,0.7625,0.525
2371,O4,4,0.7275,0.455
2371,O4,5,0.7725,0.545
2371,O4,6,0.765,0.53
2371,O4,7,0.77,0.54
2408,O3,1,0.6575,0.315
2408,O3,2,0.68,0.36
2408,O3,3,0.675,0.35
2408,O3,4,0.6675,0.335
2408,O3,5,0.6825,0.365
2408,O3,6,0.6625,0.325
2408,O3,7,0.6575,0.315
2408,O4,1,0.485,-0.03
2408,O4,2,0.51,0.02
2408,O4,3,0.4975,-0.005
2408,O4,4,0.655,0.31
2408,O4,5,0.5775,0.155
2408,O4,6,0.575,0.15
2408,O4,7,0.4975,-0.005
2445,O3,1,0.615,0.23
2445,O3,2,0.48,-0.04
2445,O3,3,0.6125,0.225
2445,O3,4,0.6125,0.225
2445,O3,5,0.6125,0.225
2445,O3,6,0.48,-0.04
2445,O3,7,0.48,-0.04
2445,O4,1,0.515,0.03
2445,O4,2,0.5525,0.105
2445,O4,3,0.48,-0.04
2445,O4,4,0.48,-0.04
2445,O4,5,0.565,0.13
2445,O4,6,0.57,0.14
2445,O4,7,0.515,0.03
2482,O3,1,0.76,0.52
2482,O3,2,0.76,0.52
2482,O3,3,0.7525,0.505
2482,O3,4,0.7525,0.505
2482,O3,5,0.7525,0.505
2482,O3,6,0.7375,0.475
2482,O3,7,0.735,0.47
2482,O4,1,0.7575,0.515
2482,O4,2,0.7625,0.525
2482,O4,3,0.765,0.53
2482,O4,4,0.7525,0.505
2482,O4,5,0.7525,0.505
2482,O4,6,0.755,0.51
2482,O4,7,0.7575,0.515
2519,O3,1,0.52,0.04
2519,O3,2,0.62,0.24
2519,O3,3,0.65,0.3
2519,O3,4,0.68,0.36
2519,O3,5,0.6175,0.235
2519,O3,6,0.5725,0.145
2519,O3,7,0.62,0.24
2519,O4,1,0.5225,0.045
2519,O4,2,0.665,0.33
2519,O4,3,0.6775,0.355
2519,O4,4,0.7125,0.425
2519,O4,5,0.7475,0.495
2519,O4,6,0.7775,0.555
2519,O4,7,0.755,0.51
2556,O3,1,0.5125,0.025
2556,O3,2,0.5025,0.005
2556,O3,3,0.5025,0.005
2556,O3,4,0.5775,0.155
2556,O3,5,0.5125,0.025
2556,O3,6,0.565,0.13
2556,O3,7,0.565,0.13
2556,O4,1,0.5325,0.065
2556,O4,2,0.63,0.26
2556,O4,3,0.715,0.43
2556,O4,4,0.7825,0.565
2556,O4,5,0.7975,0.595
2556,O4,6,0.795,0.59
2556,O4,7,0.795,0.59
2593,O3,1,0.6125,0.225
2593,O3,2,0.68,0.36
2593,O3,3,0.685,0.37
2593,O3,4,0.6875,0.375
2593,O3,5,0.6975,0.395
2593,O3,6,0.685,0.37
2593,O3,7,0.6975,0.395
2593,O4,1,0.63,0.26
2593,O4,2,0.64,0.28
2593,O4,3,0.5925,0.185
2593,O4,4,0.5675,0.135
2593,O4,5,0.605,0.21
2593,O4,6,0.55,0.1
2593,O4,7,0.615,0.23
2630,O3,1,0.69,0.38
2630,O3,2,0.7075,0.415
2630,O3,3,0.7175,0.435
2630,O3,4,0.675,0.35
2630,O3,5,0.7025,0.405
2630,O3,6,0.685,0.37
2630,O3,7,0.685,0.37
2630,O4,1,0.6825,0.365
2630,O4,2,0.675,0.35
2630,O4,3,0.66,0.32
2630,O4,4,0.675,0.35
2630,O4,5,0.69,0.38
2630,O4,6,0.7125,0.425
2630,O4,7,0.73,0.46
2667,O3,1,0.64,0.28
2667,O3,2,0.64,0.28
2667,O3,3,0.675,0.35
2667,O3,4,0.675,0.35
2667,O3,5,0.68,0.36
2667,O3,6,0.69,0.38
2667,O3,7,0.6825,0.365
2667,O4,1,0.775,0.55
2667,O4,2,0.7675,0.535
2667,O4,3,0.75,0.5
2667,O4,4,0.74,0.48
2667,O4,5,0.74,0.48
2667,O4,6,0.745,0.49
2667,O4,7,0.7575,0.515
2704,O3,1,0.635,0.27
2704,O3,2,0.67,0.34
2704,O3,3,0.635,0.27
2704,O3,4,0.65,0.3
2704,O3,5,0.6875,0.375
2704,O3,6,0.6975,0.395
2704,O3,7,0.6425,0.285
2704,O4,1,0.6175,0.235
2704,O4,2,0.6175,0.235
2704,O4,3,0.6875,0.375
2704,O4,4,0.705,0.41
2704,O4,5,0.6975,0.395
2704,O4,6,0.705,0.41
2704,O4,7,0.6625,0.325
2741,O3,1,0.6625,0.325
2741,O3,2,0.6575,0.315
2741,O3,3,0.6275,0.255
2741,O3,4,0.52,0.04
2741,O3,5,0.6175,0.235
2741,O3,6,0.6125,0.225
2741,O3,7,0.6325,0.265
2741,O4,1,0.74,0.48
2741,O4,2,0.7575,0.515
2741,O4,3,0.7475,0.495
2741,O4,4,0.7475,0.495
2741,O4,5,0.74,0.48
2741,O4,6,0.745,0.49
2741,O4,7,0.7475,0.495
2778,O3,1,0.745,0.49
2778,O3,2,0.765,0.53
2778,O3,3,0.7725,0.545
2778,O3,4,0.7525,0.505
2778,O3,5,0.745,0.49
2778,O3,6,0.7625,0.525
2778,O3,7,0.765,0.53
2778,O4,1,0.7325,0.465
2778,O4,2,0.735,0.47
2778,O4,3,0.72,0.44
2778,O4,4,0.74,0.48
2778,O4,5,0.7125,0.425
2778,O4,6,0.7175,0.435
2778,O4,7,0.7275,0.455
2815,O3,1,0.665,0.33
2815,O3,2,0.67,0.34
2815,O3,3,0.67,0.34
2815,O3,4,0.665,0.33
2815,O3,5,0.665,0.33
2815,O3,6,0.67,0.34
2815,O3,7,0.67,0.34
2815,O4,1,0.5825,0.165
2815,O4,2,0.57,0.14
2815,O4,3,0.5975,0.195
2815,O4,4,0.665,0.33
2815,O4,5,0.5975,0.195
2815,O4,6,0.54,0.08
2815,O4,7,0.555,0.11
2852,O3,1,0.62,0.24
2852,O3,2,0.6425,0.285
2852,O3,3,0.595,0.19
2852,O3,4,0.595,0.19
2852,O3,5,0.5875,0.175
2852,O3,6,0.5975,0.195
2852,O3,7,0.5825,0.165
2852,O4,1,0.5075,0.015
2852,O4,2,0.5075,0.015
2852,O4,3,0.62,0.24
2852,O4,4,0.585,0.17
2852,O4,5,0.615,0.23
2852,O4,6,0.635,0.27
2852,O4,7,0.635,0.27
2889,O3,1,0.6275,0.255
2889,O3,2,0.6725,0.345
2889,O3,3,0.6425,0.285
2889,O3,4,0.545,0.09
2889,O3,5,0.6275,0.255
2889,O3,6,0.6275,0.255
2889,O3,7,0.6725,0.345
2889,O4,1,0.6725,0.345
2889,O4,2,0.6725,0.345
2889,O4,3,0.6725,0.345
2889,O4,4,0.6275,0.255
2889,O4,5,0.5575,0.115
2889,O4,6,0.6425,0.285
2889,O4,7,0.6725,0.345
2926,O3,1,0.675,0.35
2926,O3,2,0.6375,0.275
2926,O3,3,0.675,0.35
2926,O3,4,0.675,0.35
2926,O3,5,0.725,0.45
2926,O3,6,0.675,0.35
2926,O3,7,0.675,0.35
2926,O4,1,0.78,0.56
2926,O4,2,0.7275,0.455
2926,O4,3,0.6625,0.325
2926,O4,4,0.6725,0.345
2926,O4,5,0.5325,0.065
2926,O4,6,0.6575,0.315
2926,O4,7,0.6825,0.365
2963,O3,1,0.7225,0.445
2963,O3,2,0.7575,0.515
2963,O3,3,0.775,0.55
2963,O3,4,0.765,0.53
2963,O3,5,0.7275,0.455
2963,O3,6,0.7225,0.445
2963,O3,7,0.72,0.44
2963,O4,1,0.705,0.41
2963,O4,2,0.7225,0.445
2963,O4,3,0.7775,0.555
2963,O4,4,0.7775,0.555
2963,O4,5,0.775,0.55
2963,O4,6,0.775,0.55
2963,O4,7,0.775,0.55
3000,O3,1,0.6725,0.345
3000,O3,2,0.6875,0.375
3000,O3,3,0.6875,0.375
3000,O3,4,0.655,0.31
3000,O3,5,0.655,0.31
3000,O3,6,0.6475,0.295
3000,O3,7,0.6475,0.295
3000,O4,1,0.5125,0.025
3000,O4,2,0.535,0.07
3000,O4,3,0.5525,0.105
3000,O4,4,0.535,0.07
3000,O4,5,0.5125,0.025
3000,O4,6,0.5125,0.025
3000,O4,7,0.535,0.07
3037,O3,1,0.6425,0.285
3037,O3,2,0.66,0.32
3037,O3,3,0.6325,0.265
3037,O3,4,0.6825,0.365
3037,O3,5,0.5425,0.085
3037,O3,6,0.52,0.04
3037,O3,7,0.6225,0.245
3037,O4,1,0.6675,0.335
3037,O4,2,0.6975,0.395
3037,O4,3,0.7275,0.455
3037,O4,4,0.73,0.46
3037,O4,5,0.73,0.46
3037,O4,6,0.7025,0.405
3037,O4,7,0.6975,0.395
3074,O3,1,0.6175,0.235
3074,O3,2,0.63,0.26
3074,O3,3,0.665,0.33
3074,O3,4,0.655,0.31
3074,O3,5,0.655,0.31
3074,O3,6,0.63,0.26
3074,O3,7,0.655,0.31
3074,O4,1,0.6375,0.275
3074,O4,2,0.6375,0.275
3074,O4,3,0.62,0.24
3074,O4,4,0.62,0.24
3074,O4,5,0.62,0.24
3074,O4,6,0.625,0.25
3074,O4,7,0.645,0.29
3111,O3,1,0.76,0.52
3111,O3,2,0.68,0.36
3111,O3,3,0.6725,0.345
3111,O3,4,0.68,0.36
3111,O3,5,0.6825,0.365
3111,O3,6,0.6975,0.395
3111,O3,7,0.6725,0.345
3111,O4,1,0.67,0.34
3111,O4,2,0.6625,0.325
3111,O4,3,0.66,0.32
3111,O4,4,0.6175,0.235
3111,O4,5,0.66,0.32
3111,O4,6,0.6325,0.265
3111,O4,7,0.5325,0.065
3148,O3,1,0.665,0.33
3148,O3,2,0.6625,0.325
3148,O3,3,0.66,0.32
3148,O3,4,0.66,0.32
3148,O3,5,0.57,0.14
3148,O3,6,0.5825,0.165
3148,O3,7,0.5825,0.165
3148,O4,1,0.62,0.24
3148,O4,2,0.57,0.14
3148,O4,3,0.5275,0.055
3148,O4,4,0.5275,0.055
3148,O4,5,0.5275,0.055
3148,O4,6,0.54,0.08
3148,O4,7,0.54,0.08
3185,O3,1,0.68,0.36
3185,O3,2,0.68,0.36
3185,O3,3,0.68,0.36
3185,O3,4,0.645,0.29
3185,O3,5,0.6875,0.375
3185,O3,6,0.6825,0.365
3185,O3,7,0.68,0.36
3185,O4,1,0.64,0.28
3185,O4,2,0.5575,0.115
3185,O4,3,0.525,0.05
3185,O4,4,0.5575,0.115
3185,O4,5,0.5975,0.195
3185,O4,6,0.61,0.22
3185,O4,7,0.61,0.22
3222,O3,1,0.67,0.34
3222,O3,2,0.6825,0.365
3222,O3,3,0.67,0.34
3222,O3,4,0.67,0.34
3222,O3,5,0.67,0.34
3222,O3,6,0.67,0.34
3222,O3,7,0.68,0.36
3222,O4,1,0.74,0.48
3222,O4,2,0.7475,0.495
3222,O4,3,0.74,0.48
3222,O4,4,0.6975,0.395
3222,O4,5,0.695,0.39
3222,O4,6,0.7325,0.465
3222,O4,7,0.735,0.47
3259,O3,1,0.66,0.32
3259,O3,2,0.66,0.32
3259,O3,3,0.66,0.32
