seed,observer,num_distractors,accuracy,reward,relative_processing_cost,relative_efficiency
11,O1,0,0.73,0.46,1.0,0.73
11,O2,0,0.48,-0.04,3.0,0.16
11,O3,0,0.66,0.32,1.3199999999999998,0.5000000000000001
11,O4,0,0.72,0.44,1.3199999999999998,0.5454545454545455
11,O5R,0,0.54,0.08,1.3199999999999998,0.40909090909090917
11,O1,5,0.72,0.44,1.0,0.72
11,O2,5,0.54,0.08,8.0,0.0675
11,O3,5,0.65,0.3,1.7199999999999998,0.3779069767441861
11,O4,5,0.72,0.44,1.7199999999999998,0.4186046511627907
11,O5R,5,0.54,0.08,1.7199999999999998,0.3139534883720931
11,O1,15,0.73,0.46,1.0,0.73
11,O2,15,0.56,0.12,18.0,0.031111111111111114
11,O3,15,0.66,0.32,2.5199999999999996,0.261904761904762
11,O4,15,0.73,0.46,2.5199999999999996,0.2896825396825397
11,O5R,15,0.54,0.08,2.5199999999999996,0.21428571428571433
22,O1,0,0.64,0.28,1.0,0.64
22,O2,0,0.48,-0.04,3.0,0.16
22,O3,0,0.57,0.14,1.3199999999999998,0.4318181818181818
22,O4,0,0.49,-0.02,1.3199999999999998,0.37121212121212127
22,O5R,0,0.48,-0.04,1.3199999999999998,0.36363636363636365
22,O1,5,0.63,0.26,1.0,0.63
22,O2,5,0.48,-0.04,8.0,0.06
22,O3,5,0.57,0.14,1.7199999999999998,0.33139534883720934
22,O4,5,0.49,-0.02,1.7199999999999998,0.2848837209302326
22,O5R,5,0.48,-0.04,1.7199999999999998,0.2790697674418605
22,O1,15,0.61,0.22,1.0,0.61
22,O2,15,0.49,-0.02,18.0,0.02722222222222222
22,O3,15,0.58,0.16,2.5199999999999996,0.23015873015873017
22,O4,15,0.49,-0.02,2.5199999999999996,0.19444444444444448
22,O5R,15,0.46,-0.08,2.5199999999999996,0.18253968253968259
