seed,observer,observer_a,observer_b,cosine
11,O1,O1,O1,1.0
11,O1,O1,O2,0.25286751985549927
11,O1,O1,O3,0.3240261971950531
11,O1,O1,O4,0.2958563566207886
11,O1,O1,O5R,0.41187721490859985
11,O2,O2,O1,0.25286751985549927
11,O2,O2,O2,0.9999999403953552
11,O2,O2,O3,0.22141896188259125
11,O2,O2,O4,0.27192917466163635
11,O2,O2,O5R,0.2720644176006317
11,O3,O3,O1,0.3240261971950531
11,O3,O3,O2,0.22141896188259125
11,O3,O3,O3,0.9999998807907104
11,O3,O3,O4,0.1419062316417694
11,O3,O3,O5R,0.315114289522171
11,O4,O4,O1,0.2958563566207886
11,O4,O4,O2,0.27192917466163635
11,O4,O4,O3,0.1419062316417694
11,O4,O4,O4,1.0000001192092896
11,O4,O4,O5R,0.2495983988046646
11,O5R,O5R,O1,0.41187721490859985
11,O5R,O5R,O2,0.2720644176006317
11,O5R,O5R,O3,0.315114289522171
11,O5R,O5R,O4,0.2495983988046646
11,O5R,O5R,O5R,1.0
22,O1,O1,O1,1.0
22,O1,O1,O2,0.0020258857402950525
22,O1,O1,O3,-0.15531858801841736
22,O1,O1,O4,0.047763798385858536
22,O1,O1,O5R,0.2640695869922638
22,O2,O2,O1,0.0020258857402950525
22,O2,O2,O2,1.0
22,O2,O2,O3,-0.007034864276647568
22,O2,O2,O4,0.3793753683567047
22,O2,O2,O5R,0.20282527804374695
22,O3,O3,O1,-0.15531858801841736
22,O3,O3,O2,-0.007034864276647568
22,O3,O3,O3,0.9999999403953552
22,O3,O3,O4,0.29993847012519836
22,O3,O3,O5R,0.1599011868238449
22,O4,O4,O1,0.047763798385858536
22,O4,O4,O2,0.3793753683567047
22,O4,O4,O3,0.29993847012519836
22,O4,O4,O4,1.0000001192092896
22,O4,O4,O5R,0.4889596104621887
22,O5R,O5R,O1,0.2640695869922638
22,O5R,O5R,O2,0.20282527804374695
22,O5R,O5R,O3,0.1599011868238449
22,O5R,O5R,O4,0.4889596104621887
22,O5R,O5R,O5R,1.0000001192092896
