condition,seed,observer,accuracy,reward,no_memory_accuracy,high_distractor_accuracy,base_accuracy,lora_ablated_accuracy,lora_ablated_no_memory_accuracy,lora_norm,total_params,trainable_params,test_n,tp,tn,fp,fn,H_hazard_bits,I_central_hazard_bits,I_peripheral_hazard_bits,I_peripheral_hazard_given_central_bits,I_ticket_hazard_bits,replay_attempted,replay_accepted,replay_accept_rate,replay_gain_mean,C_att,D_cue,N_sup,A_util,R_gain,T_gain,C_res,F_assoc,I_ret,I_adapter_gain,I_durable_no_memory_gain,R_ret,U_adapt,P_chain,Q_proc,OWGE_plus
main,11,O1,0.72,0.44,0.54,0.73,0.65,0.65,0.54,0.4808172583580017,12466,392,100,45,27,20,8,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06,0.0,0.0,0.0,0.0,0.2099131916278747,0.0,1.0,0.24999999999999992,0.0,0.19999999999999987,0.1963,0.0,0.0,0.19999999999999987,0.0,0.6799999999999999,0.72,0.007881596857451571,0.21738594168535608,0.0017133483548414528
main,11,O2,0.54,0.08,0.55,0.56,0.47,0.47,0.54,0.43793439865112305,12466,392,100,8,46,1,45,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06,0.0,0.0,0.0,0.0,0.5050427784724094,0.125,0.375,0.0,0.0,0.13207547169811332,0.6088,0.0,0.02173913043478263,0.13207547169811332,0.02173913043478263,0.49,0.54,0.17917794799784306,0.13062645657130437,0.023405380442675677
main,11,O3,0.65,0.3,0.54,0.66,0.65,0.65,0.54,0.2666977047920227,12466,392,100,30,35,12,23,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06,0.0,0.0,0.0,0.0,0.5615086299881595,0.11627906976744189,0.7674418604651162,0.1692307692307692,0.0,0.0,0.2513,0.0,0.0,0.0,0.0,0.61,0.65,0.0073465176092793825,0.21402809449887586,0.0015723611651165031
main,11,O4,0.72,0.44,0.54,0.73,0.65,0.65,0.54,0.5284170508384705,12466,392,100,42,30,17,11,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06,2.0,0.0,0.0,0.0,0.5615086299881595,0.11627906976744189,0.7674418604651162,0.24999999999999992,0.0,0.19999999999999987,1.1513,0.0,0.0,0.19999999999999987,0.0,0.6799999999999999,0.72,0.007881596857451571,0.16763112649640577,0.0013212009598051384
main,11,O5R,0.54,0.08,0.54,0.54,0.54,0.54,0.54,1.0023523569107056,12466,392,100,39,15,32,14,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06,2.0,2.0,1.0,0.0,0.5615086299881595,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.0,0.0,0.0,0.0,0.5,0.54,0.0064633123686562285,0.12232533505708608,0.0007906268510744818
main,22,O1,0.63,0.26,0.53,0.61,0.57,0.57,0.52,0.2947505712509155,12466,392,100,25,38,10,27,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437,0.0,0.0,0.0,0.0,0.019778227349258604,0.0,1.0,0.1587301587301587,0.0,0.13953488372093034,0.1963,0.03174603174603177,0.020833333333333353,0.13953488372093034,0.020833333333333353,0.6,0.63,0.19895625938848005,0.16273707486951577,0.01650454380684599
main,22,O2,0.48,-0.04,0.43,0.49,0.48,0.48,0.43,0.28260141611099243,12466,392,100,0,48,0,52,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437,0.0,0.0,0.0,0.0,0.4169535044744873,0.125,0.375,0.10416666666666664,0.0,0.0,0.6088,0.0,0.0,0.0,0.0,0.55,0.48,0.006415077002818096,0.11583810195224224,0.0007431103438839273
main,22,O3,0.57,0.14,0.53,0.58,0.61,0.61,0.52,0.45490020513534546,12466,392,100,15,42,6,37,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437,0.0,0.0,0.0,0.0,0.4258768397738917,0.11627906976744189,0.7674418604651162,0.0701754385964911,0.0,0.0,0.2513,0.0,0.020833333333333353,0.0,0.020833333333333353,0.5399999999999999,0.57,0.1857875452775788,0.1777409759193701,0.033022059611301016
main,22,O4,0.49,-0.02,0.53,0.49,0.61,0.61,0.52,0.8876568078994751,12466,392,100,1,48,0,51,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437,2.0,1.0,0.5,0.06666666666666665,0.4258768397738917,0.11627906976744189,0.7674418604651162,0.0,0.033333333333333326,0.0,1.1513,0.0,0.020833333333333353,0.0,0.020833333333333353,0.45999999999999996,0.49,0.1674602686008175,0.1113547769201809,0.018647500853037607
main,22,O5R,0.48,-0.04,0.48,0.46,0.52,0.52,0.52,0.8197579979896545,12466,392,100,0,48,0,52,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437,2.0,2.0,1.0,0.0,0.4258768397738917,0.11627906976744189,0.7674418604651162,0.0,0.0,0.0,1.1513,0.04166666666666659,0.0,0.0,0.0,0.5,0.48,0.006214473470482215,0.10866998927933234,-0.020158006567919298
